"Historical price chart data"
"Date: 01/01/2016 - 02/09/2016"
"AEX-INDEX"
"ISIN","MIC","Date","Open","High","Low","Close","Number of Shares","Number of Trades","Turnover","Currency"
"NL0000000107","Euronext Amsterdam","06/04/2016","429.99","431.08","427.77","431.01","0.00","0.00","1296080221.42","EUR"
"NL0000000107","Euronext Amsterdam","07/04/2016","432.20","433.94","427.96","428.73","0.00","0.00","1297860403.83","EUR"
"NL0000000107","Euronext Amsterdam","08/04/2016","430.39","434.63","430.39","434.16","0.00","0.00","1356013473.67","EUR"
"NL0000000107","Euronext Amsterdam","11/04/2016","433.74","438.44","430.82","436.56","0.00","0.00","1326179543.23","EUR"
"NL0000000107","Euronext Amsterdam","12/04/2016","438.10","439.97","434.05","439.50","0.00","0.00","1449191236.69","EUR"
"NL0000000107","Euronext Amsterdam","13/04/2016","444.13","450.09","444.13","450.09","0.00","0.00","1919910097.89","EUR"
"NL0000000107","Euronext Amsterdam","14/04/2016","449.90","452.23","448.77","451.04","0.00","0.00","1695103259.20","EUR"
"NL0000000107","Euronext Amsterdam","15/04/2016","449.88","451.45","448.89","450.59","0.00","0.00","2156492049.88","EUR"
"NL0000000107","Euronext Amsterdam","18/04/2016","444.77","451.58","444.12","450.81","0.00","0.00","1361023042.54","EUR"
"NL0000000107","Euronext Amsterdam","19/04/2016","452.29","456.89","452.04","456.46","0.00","0.00","1819670972.25","EUR"
"NL0000000107","Euronext Amsterdam","20/04/2016","455.48","457.43","454.15","456.20","0.00","0.00","1948302368.44","EUR"
"NL0000000107","Euronext Amsterdam","21/04/2016","456.94","458.02","451.29","453.47","0.00","0.00","1916191779.54","EUR"
"NL0000000107","Euronext Amsterdam","22/04/2016","452.71","452.89","449.62","451.54","0.00","0.00","1468233895.65","EUR"
"NL0000000107","Euronext Amsterdam","25/04/2016","450.76","451.24","445.61","446.77","0.00","0.00","1493236298.18","EUR"
"NL0000000107","Euronext Amsterdam","26/04/2016","449.03","451.01","446.47","447.64","0.00","0.00","1501523246.09","EUR"
"NL0000000107","Euronext Amsterdam","27/04/2016","445.29","448.82","445.29","448.37","0.00","0.00","1483317033.21","EUR"
"NL0000000107","Euronext Amsterdam","28/04/2016","445.56","450.83","442.13","450.31","0.00","0.00","1493027373.06","EUR"
"NL0000000107","Euronext Amsterdam","29/04/2016","446.07","446.42","439.27","439.68","0.00","0.00","1848093849.74","EUR"
"NL0000000107","Euronext Amsterdam","02/05/2016","441.03","441.60","438.91","441.20","0.00","0.00","857441488.33","EUR"
"NL0000000107","Euronext Amsterdam","03/05/2016","439.89","439.89","431.06","433.34","0.00","0.00","1590666453.27","EUR"
"NL0000000107","Euronext Amsterdam","04/05/2016","433.47","434.36","428.32","428.92","0.00","0.00","1470119261.81","EUR"
"NL0000000107","Euronext Amsterdam","05/05/2016","430.47","432.53","428.99","431.24","0.00","0.00","1099658932.37","EUR"
"NL0000000107","Euronext Amsterdam","06/05/2016","428.99","431.84","425.78","431.32","0.00","0.00","1414756506.41","EUR"
"NL0000000107","Euronext Amsterdam","09/05/2016","434.19","436.76","430.89","431.58","0.00","0.00","1314520595.77","EUR"
"NL0000000107","Euronext Amsterdam","10/05/2016","434.83","440.05","433.89","436.27","0.00","0.00","1456219094.14","EUR"
"NL0000000107","Euronext Amsterdam","11/05/2016","435.43","435.71","431.36","434.71","0.00","0.00","1256715294.20","EUR"
"NL0000000107","Euronext Amsterdam","12/05/2016","432.01","438.04","430.36","430.89","0.00","0.00","1418923586.35","EUR"
"NL0000000107","Euronext Amsterdam","13/05/2016","428.35","433.86","426.95","433.52","0.00","0.00","1413126241.62","EUR"
"NL0000000107","Euronext Amsterdam","16/05/2016","429.77","434.25","428.28","433.74","0.00","0.00","877327863.37","EUR"
"NL0000000107","Euronext Amsterdam","17/05/2016","436.34","438.33","430.79","432.30","0.00","0.00","1413999356.90","EUR"
"NL0000000107","Euronext Amsterdam","18/05/2016","429.58","434.53","429.14","434.46","0.00","0.00","1411839005.57","EUR"
